Eion,Wion_H
4.999996975974968505e-02,7.812926303653369600e+17
1.499999092792490551e-01,3.211014348082977200e+16
2.499998487987483975e-01,2.680296967586082000e+16
3.499997883182477953e-01,2.470100368308319200e+16
4.499997278377471099e-01,1.894092007856537600e+16
5.499996673572464800e-01,1.678088872687122800e+16
6.499996068767459612e-01,1.587506912777366200e+16
7.499995463962453313e-01,1.520151096434218000e+16
8.499994859157447014e-01,1.417956064741159400e+16
9.499994254352439604e-01,1.174081557291820200e+16
1.049999364954743220e+00,1.069563911242104600e+16
1.149999304474242701e+00,9.882724087589914000e+15
1.249999243993742182e+00,9.185939780591790000e+15
1.349999183513241441e+00,8.953678344925767000e+15
1.449999123032740700e+00,8.152376391877935000e+15
1.549999062552239959e+00,7.165265290297286000e+15
1.649999002071739440e+00,6.422028696165973000e+15
1.749998941591238921e+00,6.514933270432385000e+15
1.849998881110738180e+00,5.423304522802012000e+15
1.949998820630237661e+00,5.748470532734465000e+15
2.049998760149736921e+00,5.283947661402388000e+15
2.149998699669236846e+00,4.842650933636913000e+15
2.249998639188735883e+00,4.656841785104082000e+15
2.349998578708235364e+00,4.459419564787948000e+15
2.449998518227734845e+00,3.994896693455870500e+15
2.549998457747233882e+00,3.518760750340490500e+15
2.649998397266733363e+00,3.181981668624734000e+15
2.749998336786232400e+00,3.205207812191338000e+15
2.849998276305732325e+00,2.856815658692279500e+15
2.949998215825231362e+00,2.856815658692279500e+15
3.049998155344730844e+00,2.636167294809543000e+15
3.149998094864230325e+00,2.415518930926805000e+15
3.249998034383729362e+00,2.276162069527182000e+15
3.349997973903228843e+00,2.101965992777653000e+15
3.449997913422728324e+00,2.090352920994350500e+15
3.549997852942227805e+00,1.602603906095669000e+15
3.649997792461726842e+00,1.695508480362084750e+15
3.749997731981226767e+00,1.312277111513120000e+15
3.849997671500725804e+00,1.370342470429630000e+15
3.949997611020224841e+00,1.149694106546892500e+15
4.049997550539724323e+00,1.184533321896798500e+15
4.149997490059224248e+00,1.080015675847080875e+15
4.249997429578723285e+00,1.056789532280476875e+15
4.349997369098222322e+00,1.045176460497174875e+15
4.449997308617722247e+00,1.068402604063778875e+15
4.549997248137221284e+00,7.780758094812298750e+14
4.649997187656720321e+00,8.477542401810416250e+14
4.749997127176220246e+00,8.013019530478338750e+14
4.849997066695720171e+00,5.690405173817947500e+14
4.949997006215218320e+00,7.200104505647200000e+14
5.049996945734718246e+00,6.271058762983046250e+14
5.149996885254217283e+00,4.761359431153792500e+14
5.249996824773716320e+00,5.922666609483985000e+14
5.349996764293216245e+00,4.180705841988696875e+14
5.449996703812715282e+00,5.109751584652850625e+14
5.549996643332215207e+00,5.922666609483985000e+14
5.649996582851714244e+00,5.342013020318890625e+14
5.749996522371213281e+00,3.832313688489638750e+14
5.849996461890713206e+00,5.574274455984928750e+14
5.949996401410212243e+00,3.483921534990580625e+14
6.049996340929711280e+00,4.296836559821715000e+14
6.149996280449211206e+00,3.367790817157561875e+14
6.249996219968711131e+00,3.251660099324541875e+14
6.349996159488209280e+00,3.367790817157561875e+14
6.449996099007709205e+00,4.296836559821715000e+14
6.549996038527209130e+00,2.322614356660387500e+14
6.649995978046707279e+00,2.322614356660387500e+14
6.749995917566207204e+00,2.787137227992464375e+14
6.849995857085707129e+00,2.438745074493406562e+14
6.949995796605206166e+00,2.671006510159445312e+14
7.049995736124705203e+00,3.367790817157561875e+14
7.149995675644205129e+00,2.206483638827368438e+14
7.249995615163704166e+00,2.206483638827368438e+14
7.349995554683203203e+00,2.438745074493406562e+14
7.449995494202703128e+00,2.903267945825484375e+14
7.549995433722202165e+00,1.974222203161329375e+14
7.649995373241702090e+00,2.322614356660387500e+14
7.749995312761201127e+00,1.625830049662270938e+14
7.849995252280700164e+00,1.625830049662270938e+14
7.949995191800200089e+00,1.741960767495290312e+14
8.049995131319699126e+00,1.045176460497174375e+14
8.149995070839198164e+00,1.625830049662270938e+14
8.249995010358697201e+00,1.509699331829251562e+14
8.349994949878198014e+00,1.741960767495290312e+14
8.449994889397697051e+00,2.671006510159445312e+14
8.549994828917194312e+00,2.206483638827368438e+14
8.649994768436695125e+00,1.509699331829251875e+14
8.749994707956194162e+00,1.509699331829251562e+14
8.849994647475694975e+00,2.090352920994348750e+14
8.949994586995194013e+00,1.741960767495290312e+14
9.049994526514693050e+00,1.045176460497174375e+14
9.149994466034192087e+00,1.161307178330193555e+13
9.249994405553691124e+00,1.161307178330193594e+14
9.349994345073190161e+00,3.483921534990580469e+13
9.449994284592690974e+00,0.000000000000000000e+00
9.549994224112190011e+00,0.000000000000000000e+00
9.649994163631689048e+00,0.000000000000000000e+00
9.749994103151188085e+00,0.000000000000000000e+00
9.849994042670687122e+00,0.000000000000000000e+00
9.949993982190186159e+00,0.000000000000000000e+00
