Eele,Wele
2.500001042982233912e-01,1.365004326097183334e+19
7.500003128946701736e-01,1.861883184674311040e+17
1.250000521491116956e+00,7.558089069007905600e+16
1.750000730087563738e+00,4.444705128368030400e+16
2.250000938684010521e+00,2.950336579548267600e+16
2.750001147280457747e+00,2.106299385514716000e+16
3.250001355876904086e+00,1.588356913666813000e+16
3.750001564473351312e+00,1.297411052799186800e+16
4.250001773069797650e+00,1.059730426704558800e+16
4.750001981666244433e+00,9.223866382055804000e+15
5.250002190262692103e+00,7.917010040532282000e+15
5.750002398859138886e+00,6.806801513432367000e+15
6.250002607455584780e+00,5.856079009053912000e+15
6.750002816052032451e+00,5.222780142130838000e+15
7.250003024648479233e+00,4.292186941591078500e+15
7.750003233244925127e+00,3.853987481103970500e+15
8.250003441841371910e+00,3.158752294677429000e+15
8.750003650437818692e+00,2.805715273507604500e+15
9.250003859034265474e+00,2.458871884288126000e+15
9.750004067630712257e+00,2.152287102745909250e+15
1.025000427622716082e+01,1.909187048694757750e+15
1.075000448482360760e+01,1.619634755015991500e+15
1.125000469342005438e+01,1.488020076071096250e+15
1.175000490201649939e+01,1.362599029076549250e+15
1.225000511061294617e+01,1.184532110504043750e+15
1.275000531920939295e+01,9.987231519936038750e+14
1.325000552780584151e+01,9.213027526142537500e+14
1.375000573640228829e+01,9.352384245025366250e+14
1.425000594499873507e+01,7.556230979424460000e+14
1.475000615359518008e+01,7.169128982527718750e+14
1.525000636219162686e+01,6.936867784389671250e+14
1.575000657078807365e+01,6.100727471092702500e+14
1.625000677938452043e+01,5.249103077919865000e+14
1.675000698798096721e+01,5.311039397423343125e+14
1.725000719657741399e+01,4.505867243878114375e+14
1.775000740517386077e+01,4.459415004250506250e+14
1.825000761377030756e+01,3.917472208595063750e+14
1.875000782236675434e+01,4.010376687850282500e+14
1.925000803096320112e+01,3.530370211698318750e+14
1.975000823955964790e+01,3.592306531201797500e+14
2.025000844815609469e+01,3.282624933684402500e+14
2.075000865675254502e+01,2.756166217904829688e+14
2.125000886534899180e+01,2.570357259394392500e+14
2.175000907394543859e+01,2.229707502125255938e+14
2.225000928254188537e+01,2.632293578897870938e+14
2.275000949113832860e+01,2.028414463738949062e+14
2.325000969973477538e+01,2.121318942994167188e+14
2.375000990833122216e+01,1.935509984483728750e+14
2.425001011692766895e+01,1.610344307090463125e+14
2.475001032552411573e+01,1.687764706469812500e+14
2.525001053412056251e+01,1.981962224111339375e+14
2.575001074271700929e+01,1.579376147338723750e+14
2.625001095131345963e+01,1.440019428455895000e+14
2.675001115990990641e+01,1.362599029076545938e+14
2.725001136850635319e+01,1.176790070566107656e+14
2.775001157710279998e+01,1.331630869324806094e+14
2.825001178569924676e+01,1.068401511435018906e+14
2.875001199429569354e+01,9.445288724280600000e+13
2.925001220289213677e+01,7.122676742900125000e+13
2.975001241148858355e+01,8.051721535452312500e+13
3.025001262008503033e+01,6.503313547865330469e+13
3.075001282868147712e+01,6.812995145382728125e+13
3.125001303727792390e+01,6.038791151589235156e+13
3.175001324587437068e+01,5.264587157795742969e+13
3.225001345447081746e+01,5.264587157795742969e+13
3.275001366306726425e+01,6.812995145382727344e+13
3.325001387166371103e+01,5.574268755313139844e+13
3.375001408026015781e+01,3.716179170208760156e+13
3.425001428885660459e+01,3.096815975173966797e+13
3.475001449745305138e+01,1.858089585104380078e+13
3.525001470604949816e+01,3.096815975173966406e+13
3.575001491464594494e+01,1.393567188828284961e+13
3.625001512324239172e+01,2.167771182621776953e+13
3.675001533183883851e+01,1.703248786345682031e+13
3.725001554043528529e+01,1.858089585104380078e+13
3.775001574903173207e+01,1.238726390069586719e+13
3.825001595762817885e+01,3.096815975173966797e+12
3.875001616622462564e+01,7.742039937934916992e+12
3.925001637482107242e+01,7.742039937934916992e+12
3.975001658341751920e+01,9.290447925521900391e+12
4.025001679201396598e+01,1.083885591310888477e+13
4.075001700061041277e+01,1.548407987586983398e+12
4.125001720920686665e+01,7.742039937934916992e+12
4.175001741780331344e+01,4.645223962760950195e+12
4.225001762639976022e+01,3.096815975173966797e+12
4.275001783499620700e+01,3.096815975173966797e+12
4.325001804359265378e+01,0.000000000000000000e+00
4.375001825218910056e+01,0.000000000000000000e+00
4.425001846078554735e+01,4.645223962760950195e+12
4.475001866938199413e+01,3.096815975173966797e+12
4.525001887797843381e+01,4.645223962760950195e+12
4.575001908657488059e+01,1.548407987586983398e+12
4.625001929517132737e+01,1.548407987586983398e+12
4.675001950376777415e+01,0.000000000000000000e+00
4.725001971236422094e+01,1.548407987586983398e+12
4.775001992096066772e+01,0.000000000000000000e+00
4.825002012955711450e+01,0.000000000000000000e+00
4.875002033815356128e+01,0.000000000000000000e+00
4.925002054675000807e+01,0.000000000000000000e+00
4.975002075534645485e+01,0.000000000000000000e+00
